business_id,name,postal_code,block,avg_star,star_rank,total_reviews,categories,review,comment_rank,month,mean_star,income_block,asian_pro_block,GoodForGroups,OutdoorSeating,AcceptsCreditCards,TakeOut,Reservations,Delivery,PriceRange,T_GoodForGroups,T_OutdoorSeating,T_AcceptsCreditCards,T_TakeOut,T_Reservations,T_Delivery,F_GoodForGroups,F_OutdoorSeating,F_AcceptsCreditCards,F_TakeOut,F_Reservations,F_Delivery,PriceRange_NaN,PriceRange_1.0,PriceRange_2.0,PriceRange_3.0,PriceRange_4.0,income_rank,asian_rank
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,19130,North,3.0,48,147,Other,38,9,2019-01,,73803,4.7,True,False,True,True,True,True,1.0,49.3,13.0,58.0,94.2,31.9,65.2,50.7,87.0,42.0,5.8,68.1,34.8,18.8,44.9,33.3,1.4,1.4,3,5
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,19130,North,3.0,48,147,Other,38,9,2019-02,4.0,73803,4.7,True,False,True,True,True,True,1.0,49.3,13.0,58.0,94.2,31.9,65.2,50.7,87.0,42.0,5.8,68.1,34.8,18.8,44.9,33.3,1.4,1.4,3,5
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,19130,North,3.0,48,147,Other,38,9,2019-03,4.0,73803,4.7,True,False,True,True,True,True,1.0,49.3,13.0,58.0,94.2,31.9,65.2,50.7,87.0,42.0,5.8,68.1,34.8,18.8,44.9,33.3,1.4,1.4,3,5
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,19130,North,3.0,48,147,Other,38,9,2019-04,1.33,73803,4.7,True,False,True,True,True,True,1.0,49.3,13.0,58.0,94.2,31.9,65.2,50.7,87.0,42.0,5.8,68.1,34.8,18.8,44.9,33.3,1.4,1.4,3,5
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,19130,North,3.0,48,147,Other,38,9,2019-05,4.0,73803,4.7,True,False,True,True,True,True,1.0,49.3,13.0,58.0,94.2,31.9,65.2,50.7,87.0,42.0,5.8,68.1,34.8,18.8,44.9,33.3,1.4,1.4,3,5
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,19130,North,3.0,48,147,Other,38,9,2019-06,4.5,73803,4.7,True,False,True,True,True,True,1.0,49.3,13.0,58.0,94.2,31.9,65.2,50.7,87.0,42.0,5.8,68.1,34.8,18.8,44.9,33.3,1.4,1.4,3,5
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,19130,North,3.0,48,147,Other,38,9,2019-07,2.0,73803,4.7,True,False,True,True,True,True,1.0,49.3,13.0,58.0,94.2,31.9,65.2,50.7,87.0,42.0,5.8,68.1,34.8,18.8,44.9,33.3,1.4,1.4,3,5
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,19130,North,3.0,48,147,Other,38,9,2019-08,2.5,73803,4.7,True,False,True,True,True,True,1.0,49.3,13.0,58.0,94.2,31.9,65.2,50.7,87.0,42.0,5.8,68.1,34.8,18.8,44.9,33.3,1.4,1.4,3,5
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,19130,North,3.0,48,147,Other,38,9,2019-09,2.33,73803,4.7,True,False,True,True,True,True,1.0,49.3,13.0,58.0,94.2,31.9,65.2,50.7,87.0,42.0,5.8,68.1,34.8,18.8,44.9,33.3,1.4,1.4,3,5
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,19130,North,3.0,48,147,Other,38,9,2019-10,,73803,4.7,True,False,True,True,True,True,1.0,49.3,13.0,58.0,94.2,31.9,65.2,50.7,87.0,42.0,5.8,68.1,34.8,18.8,44.9,33.3,1.4,1.4,3,5
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,19130,North,3.0,48,147,Other,38,9,2019-11,,73803,4.7,True,False,True,True,True,True,1.0,49.3,13.0,58.0,94.2,31.9,65.2,50.7,87.0,42.0,5.8,68.1,34.8,18.8,44.9,33.3,1.4,1.4,3,5
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,19130,North,3.0,48,147,Other,38,9,2019-12,4.0,73803,4.7,True,False,True,True,True,True,1.0,49.3,13.0,58.0,94.2,31.9,65.2,50.7,87.0,42.0,5.8,68.1,34.8,18.8,44.9,33.3,1.4,1.4,3,5
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,19130,North,3.0,48,147,Other,38,9,2020-01,,73803,4.7,True,False,True,True,True,True,1.0,49.3,13.0,58.0,94.2,31.9,65.2,50.7,87.0,42.0,5.8,68.1,34.8,18.8,44.9,33.3,1.4,1.4,3,5
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,19130,North,3.0,48,147,Other,38,9,2020-02,1.0,73803,4.7,True,False,True,True,True,True,1.0,49.3,13.0,58.0,94.2,31.9,65.2,50.7,87.0,42.0,5.8,68.1,34.8,18.8,44.9,33.3,1.4,1.4,3,5
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,19130,North,3.0,48,147,Other,38,9,2020-03,1.0,73803,4.7,True,False,True,True,True,True,1.0,49.3,13.0,58.0,94.2,31.9,65.2,50.7,87.0,42.0,5.8,68.1,34.8,18.8,44.9,33.3,1.4,1.4,3,5
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,19130,North,3.0,48,147,Other,38,9,2020-04,,73803,4.7,True,False,True,True,True,True,1.0,49.3,13.0,58.0,94.2,31.9,65.2,50.7,87.0,42.0,5.8,68.1,34.8,18.8,44.9,33.3,1.4,1.4,3,5
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,19130,North,3.0,48,147,Other,38,9,2020-05,5.0,73803,4.7,True,False,True,True,True,True,1.0,49.3,13.0,58.0,94.2,31.9,65.2,50.7,87.0,42.0,5.8,68.1,34.8,18.8,44.9,33.3,1.4,1.4,3,5
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,19130,North,3.0,48,147,Other,38,9,2020-06,2.0,73803,4.7,True,False,True,True,True,True,1.0,49.3,13.0,58.0,94.2,31.9,65.2,50.7,87.0,42.0,5.8,68.1,34.8,18.8,44.9,33.3,1.4,1.4,3,5
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,19130,North,3.0,48,147,Other,38,9,2020-07,,73803,4.7,True,False,True,True,True,True,1.0,49.3,13.0,58.0,94.2,31.9,65.2,50.7,87.0,42.0,5.8,68.1,34.8,18.8,44.9,33.3,1.4,1.4,3,5
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,19130,North,3.0,48,147,Other,38,9,2020-08,,73803,4.7,True,False,True,True,True,True,1.0,49.3,13.0,58.0,94.2,31.9,65.2,50.7,87.0,42.0,5.8,68.1,34.8,18.8,44.9,33.3,1.4,1.4,3,5
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,19130,North,3.0,48,147,Other,38,9,2020-09,4.0,73803,4.7,True,False,True,True,True,True,1.0,49.3,13.0,58.0,94.2,31.9,65.2,50.7,87.0,42.0,5.8,68.1,34.8,18.8,44.9,33.3,1.4,1.4,3,5
